player_ID,careerWAR
aardsda01,-0.07
aaronha01,143.22
aaronto01,-2.79
aasedo01,-0.07
abadan01,-0.37000000000000005
abadfe01,-0.08
abadijo01,-0.060000000000000005
abbated01,8.73
abbeybe01,-1.01
abbeych01,1.78
abbotan01,0.0
abbotco01,0.03
abbotda01,0.01
abbotfr01,0.49000000000000005
abbotgl01,0.0
abbotje01,-1.4200000000000002
abbotji01,-0.1
abbotku01,0.5399999999999998
abbotky01,-0.039999999999999994
abbotod01,-0.41
abbotpa01,0.15
abelmi01,0.0
aberal01,-0.37
abercda01,-0.07
abercre01,-0.2
abernbi01,-0.01
abernbr01,0.03999999999999995
abernja01,0.07
abernte01,0.010000000000000002
abernte02,-0.66
abernwo01,-0.14
aberscl01,0.10999999999999999
ablesha01,-0.47
abnersh01,-1.33
abramca01,8.48
abramcj01,10.26
abramge01,0.05
abregjo01,-0.13
abreual01,0.0
abreubo01,60.19
abreubr01,0.0
abreueu01,-0.6300000000000001
abreujo01,0.1
abreujo02,29.509999999999998
abreuju01,0.0
abreuto01,-0.44000000000000006
abreuwi01,-0.03
abreuwi02,7.279999999999999
abstebi01,-0.43999999999999995
accarje01,-0.05
aceveal01,-0.03
acevedo01,0.0
acevejo01,-0.58
aceveju01,-0.44
achteaj01,0.0
ackerji01,0.13
ackerto01,-0.41000000000000003
ackledu01,7.7299999999999995
acklefr01,0.13
acostcy01,-0.11
acosted01,-0.27
acostjo01,-0.06
acostma01,-0.020000000000000004
acostma02,-0.04
acostme01,0.6199999999999999
acrema01,0.0
actonga01,0.0
acunajo01,1.08
acunaro01,28.590000000000003
adairje01,8.35
adairji01,-0.09
adamecr01,-1.0999999999999999
adamewi01,25.1
adamja01,0.0
adams05,0.0
adamsac01,-0.47000000000000003
adamsau01,-0.04
adamsau02,-0.030000000000000002
adamsba01,2.48
adamsbe01,-3.0100000000000002
adamsbo01,0.02
adamsbo02,-0.05
adamsbo03,15.8
adamsbo04,-0.04
adamsbu01,8.83
adamsch01,0.0
adamsda01,-0.12
adamsda02,-0.37
adamsdi01,-0.22
adamsdo01,-0.1
adamsem01,2.13
adamsge01,-0.05
adamsgl01,-1.2799999999999998
adamshe01,-0.16999999999999998
adamsji01,-0.02
adamsjo01,-0.03
adamsjo02,0.04
adamsjo03,-0.98
adamska01,-0.5399999999999999
adamsla01,0.56
adamsma01,4.81
adamsmi01,0.13
adamsmi02,0.23999999999999996
adamsmi03,-0.03
adamsre01,-0.01
adamsri01,0.11
adamsri02,0.7799999999999999
adamsri03,2.13
adamsru01,-6.938893903907228e-17
adamsry01,-0.42
adamssp01,17.81
adamssp02,-0.8300000000000001
adamste01,-0.36
adamswi01,-0.74
adamswi02,0.0
adcocjo01,33.51
adcocna01,-0.01
adcocty01,0.0
addisbo01,0.7899999999999999
adducji01,-0.55
adducji02,0.22000000000000003
addybo01,2.93
adelljo01,0.5699999999999998
adenhni01,0.0
aderhmo01,0.019999999999999907
adkinde01,0.14
adkindi01,-0.01
adkindo01,-0.08
adkingr01,0.020000000000000018
adkinhe01,0.0
adkinjo01,-0.02
adkinst01,0.0
adlemti01,0.07
adlesda01,-1.8199999999999998
adonjo01,-0.02
adriaeh01,1.07
afenitr01,-0.3
affelje01,0.039999999999999994
agbaybe01,1.3099999999999998
ageeto01,25.34
agganha01,0.41000000000000003
aglerjo01,-0.21999999999999997
agnewsa01,5.33
agnosza01,0.0
agostju01,-0.05999999999999999
agrazda01,-0.05
aguaylu01,2.71
