player_ID,careerWAR
aardsda01,1.84
aasedo01,15.09
abadfe01,3.26
abbeybe01,1.3199999999999998
abbeych01,-0.09
abbotan01,11.71
abbotco01,-0.88
abbotda01,-0.37
abbotgl01,5.26
abbotji01,19.7
abbotky01,-1.37
abbotpa01,4.48
abelmi01,-0.16000000000000003
aberal01,1.0099999999999998
abernbi01,-0.09
abernte01,-1.24
abernte02,16.59
abernwo01,0.48000000000000004
ablesha01,-1.43
abnerph01,0.01
abramge01,-0.12
abregjo01,-0.42
abreual01,-0.12
abreubr01,7.42
abreuju01,0.09
abreuwi01,-0.7999999999999999
accarje01,1.9399999999999997
aceveal01,4.21
acevedo01,0.62
acevejo01,-1.9000000000000001
aceveju01,3.1400000000000006
achteaj01,0.27
ackerji01,5.46
ackerto01,4.86
acklefr01,-0.010000000000000009
acostcy01,5.7299999999999995
acosted01,0.24
acostjo01,1.9900000000000002
acostma01,0.9200000000000002
acrema01,0.47000000000000003
actonga01,-0.34
adamja01,8.61
adamsac01,7.07
adamsau01,-0.58
adamsau02,1.22
adamsba01,50.15
adamsbo01,-0.02
adamsbo02,-0.12999999999999998
adamsch01,-1.07
adamsda01,-0.76
adamsem01,3.79
adamsjo01,-0.27
adamsjo02,0.14
adamska01,-1.24
adamsmi01,-1.01
adamsmi03,10.1
adamsre01,-0.53
adamsri01,0.14
adamste01,4.46
adamstr01,-0.85
adamswi01,-2.38
adamswi02,0.8600000000000001
adcocna01,0.6300000000000001
adcocty01,-0.31
adenhni01,0.010000000000000009
adkinde01,-0.43
adkindo01,-0.8300000000000001
adkingr01,2.26
adkinjo01,0.43
adkinst01,-0.34
adlemti01,0.7
adonjo01,-1.5399999999999998
adriaeh01,-0.08
affelje01,9.69
agnosza01,-0.38
agostju01,1.3199999999999996
agrazda01,0.6
aguiaju01,-0.14
aguilmi01,-0.16
aguilri01,20.64
aguirha01,20.95
ahearpa01,-0.43
ainsmed01,-0.18
ainswku01,-0.10999999999999999
aitchra01,0.8699999999999999
akerfda01,-1.4
akerja01,8.719999999999999
akersje01,-0.47
akinke01,1.78
alanirj01,-0.36
albagi01,-0.03
albaljo01,0.78
albanjo01,0.05
alberan01,-0.050000000000000044
albercy01,-0.56
alberha01,-0.12
alberjo01,-1.29
alberma01,2.6999999999999997
albosed01,-1.22
albreed01,-0.05
albrial01,-0.34
albrith01,-0.42
albural01,5.13
alburvi01,1.71
alcaljo01,0.8900000000000001
alcalsa01,-1.03
alcanra01,-0.62
alcansa01,20.67
alcanse01,0.01
alcanvi01,1.33
aldegsa01,-0.8200000000000001
alderda01,-1.15
aldremi01,0.04
aldresc01,-2.3200000000000003
aldrija01,-0.1100000000000001
aldrivi01,16.56
alexabo01,-0.8799999999999999
alexabu01,-3.25
alexado01,34.78
alexage01,-0.8500000000000001
alexaja01,-0.17000000000000004
alexama02,-0.14
alexape01,116.64
alexasc02,5.68
alexate01,2.0
alexaty01,3.33
alexyaj01,-0.3
alfonan01,3.67
allarbr01,0.94
allarko01,-0.3899999999999999
alldrca01,0.04
allenbo03,-0.43
allenbo04,-1.2600000000000002
allencl01,-0.6
allencl02,-0.68
allenco01,8.57
allenfr01,7.130000000000001
allenha03,-1.01
allenho02,-1.01
allenjo01,-0.13
allenjo02,27.87
allenll01,-1.9100000000000001
allenlo01,-1.26
allenlo02,1.0899999999999999
allenmy01,1.1099999999999999
allenne01,6.95
allenne02,0.04
allgeni01,0.04
allis02,0.29
allisda01,-0.36
allisdo01,-0.16
allisma01,1.31
almanar01,-0.4
almanca01,1.6500000000000001
almoned01,-0.58
almonhe01,-0.4
almonmi01,-0.44
almonye01,0.8999999999999998
almoral01,-0.1
alomalu01,4.71
alonsro01,-0.64
alouma01,0.07
alstoga01,-0.1
altampo01,0.4
altavda01,1.0699999999999998
altener01,-0.7
altheaa01,-0.02
altroni01,8.74
alvarab01,-0.35
alvaran01,0.67
alvarda01,-0.16999999999999998
alvared01,0.03
alvarel01,0.65
alvarhe01,7.84
alvarjo01,3.24
alvarjo02,4.5200000000000005
alvarjo03,4.53
alvarju01,0.44
alvarra01,-0.18000000000000002
alvarrj01,-0.76
alvarta01,-0.18
alvarvi01,-0.31999999999999995
alvarwi01,24.99
alzolad01,2.36
amarial01,0.02
amayaja01,0.03
ambrihe01,-1.12
amesre01,28.439999999999998
amesst01,0.0
amoledo01,0.1499999999999999
amorvi01,-0.14
anckewa01,-0.01
ander07,-0.18
anderal02,8.48
anderbi01,-0.07
anderbi03,1.3900000000000001
anderbo01,4.36
anderbr02,10.870000000000001
anderbr04,11.06
anderbu01,2.1
anderch01,8.8
anderco01,1.0399999999999998
andercr01,-2.5300000000000002
anderda01,-0.52
anderdr02,-0.30000000000000004
anderfa01,0.21
anderfr01,4.95
andergr01,-1.12
anderia01,3.34
anderja01,-0.13
anderji02,1.0699999999999998
anderjo02,-0.41000000000000003
anderju01,0.81
anderla01,-0.5299999999999999
anderla02,13.860000000000001
anderma01,-0.5800000000000001
andermi01,0.03
andermi02,-0.39
anderni01,3.45
anderor01,-0.3
anderre01,0.32999999999999996
anderri01,0.12
anderri02,0.32
